id,money
2600也是6600！6600赛高！,2600
吃好喝好去接水,2210
rz,2100
本池田,2000
生了是个太极,1616.1
发呆的沼跃鱼1,1600
福禄双霸天3.6flag,1572.3
小tāng,1100
木木枭,1074.6
鱼琳要健康要快乐要幸运,1072.3
愁莫渡江,1072.3
东流流流流流流流,1010
铁血恬豆包,1000
AIR卡布奇诺,1000
屁屁,1000
热烈的夏季,1000
程凌安女士的阅览室_FLAG,970
Nxname,882.3
来点琳能量,800
星落秋风五丈原,753
SKT-Feiju（琳羊应援会版）,716.9
幽悠,700
REEEX,644.6
魔迹,600
一直的样子,600
icuzz,600
潘尼西琳,578.4
八慧,572.3
Shadow1nd,572.3
波尔布特,553.5
FESDJFDSF,500
喵九,500
不扣纽扣,500
第010条鲨鱼,499
安静爱cl,472.3
浅澜,426.9
djwcb,422.3
Aluan,416.9
没陈琳我们幸运星该怎么办,401.5
发呆的沼跃鱼2,400
罗夏,400
解释春风无限恨,400
M-----177,388.1
Colin,344.6
Allegro,312.3
菈妮从小就很可爱,309.2
后左脆鲨,306.9
周刊少女沐霂酱,302.3
crow,300
111,300
发v有点v就过分,300
会错过的味道,300
克苏鲁小琳浑身双马尾,300
yylzsj,300
名字起太怪也不好,300
金色回收网,289.2
加油啊陈琳！,275.8
没事睡觉中,275.8
小菜狗,272.3
拷CL,272.3
胖企鹅,272.3
百利甜配美式加冰,250.4
抹一缕月光,250
zzzzz,246.9
Speranza,240.4
依然002号机,226.9
春雪丶,216.9
可爱小又吃火锅,216.9
♡Stephy♡,216.9
Hello米豆豆,216.9
破甲专精,216.9
陈者如琳,216.9
，我讲两句,216.9
Penicillin,214.6
阿松,208.1
Ameka,202.3
嘎嘎嘎嘎（风华-S）,202.3
梓洛,200
不想拥有太多情绪,200
赵粤的小金库,200
谢谢你，泰罗,200
帕里亚,200
天赏,200
硬核昵称,200
不见王影,200
finfin,200
兔砸,200
元宝的go,200
tq,200
钱多多,200
李毅,200
允水晶,200
永远喜欢奶油熊子烧酒喵,200
明天起步干死老汉的Max,200
要给陈琳更好的舞台！,200
饺子,200
kusuri,200
syq,200
鸡蛋,200
王志军,200
冰淇琳好甜,200
帕里亚二号机,144.6
桐生一喵,144.6
脆脆鲨,144.6
小明的巾领红,144.6
单推人,144.6
劳动最光荣,115.8
一名竹鼠商,112.3
Basiliscus,107.3
dingcross,105.8
Mr.cleverpig,102.3
亦同,102.3
全斗焕,102.3
踢风寻宝,102.3
Nihilism,102.3
明天晚上吃什么,102.3
陈琳是我爹谢天依是我妈,102.3
程先生,90
Faze陈琳,80
Crimson Requiem,80
小猛,75.8
流浪者,75.8
漏电五郎,75.8
本台记者陈琳报导,75.8
净Zzz,74
凉宫春日的忧郁,72.3
黄婷婷,72.3
你的快乐小李,72.3
sauuuce,72.3
说句心里话主播帅得爆炸,72.3
贾泓毅,72.3
Barca,72.3
恬豆奶淇琳包,72.3
蜜瓜苏打,72.3
祈妄,72.3
ok琳仔,72.3
大园桃子_official,72.3
SPYNGELION,72.3
艾罗补脑汁,72.3
打豆豆,72.3
不碍事,72.3
清菜,72.3
不太会说话,72.3
马鹏飞,72.3
羽哦,72.3
鱼白,72.3
彭镜宇,72.3
BrainPower,72.3
恰疯狂星期四的西蓝花,70
10,60.5
盒纤,56
比你更爱星瞳,50
天草小琳,43.5
肥宅王,40
天依,37
Ariandel35,35
消失在人海尽头,30
陈小陈,30
ace,30
我不是聚聚,30
安普特,30
牛魔,30
羁绊,30
快到7.23吧,30
千层,30
提兹卡悲歌,20
Disguiser.,13.5
小怪兽的快乐星球_,13.5
0066甜，我一直是小星铁啊,13.5
磕学家,13.5
我爱新陈代谢,13.5
HOC_GD,13.5
可爱小宁没有鲨鱼头,13.5
沁栗水一枚,10
好吃凤梨酥,10
NASA 2,10
菲多艾米联科,10
李星羽,10
陈卓维,10
Wiz_H张子豪,10
琳又圆,10
金桥镇超人,10
闫思齐,10
一块泥巴啊,10
寻遥青,10
暴躁因子,10
陈琳的好大儿,10
小琳的双马尾,10
最爱cl,10
粪海狂蛆,10
用户-2019,10
野肆,10
反求诸己,10
bej-aki,10
我是我和我的我,10
48歌舞伝説らき☆すたの神！琳陳一郎です,10
小雨疏疏向晚晴,10
李茗,10
陈陈陈陈陈意,10
Apostl,10
乖离性百万奶油熊子烧酒,10
从此畅所欲言,10
天雨8m7EN,10
支持cl,10
cl,10
我爱你对吗,10
CC_空屋,10
风动幡动心动,10
橋本奈々未,10
神秘草球,10
炽焰咆哮虎皮青椒,10
卷毛,10
饿了想吃柠檬炸鸡,10
Lili,10
祁琳应援会,10
932,10
吉米大叔呀,10
远坂凛,7
陌上cjz,7
王嘉诚,3.5
三水各,3.5
肖政奔,3.5
TheYoung_,3.5
巩睿宸,3.5
指导舒,3.5
水子,3.5
HTC780,3.5
怪盗基德和豆浆,3.5
沉0的单推人,3.5
无由,3.5
漏电五郎②,3.5
虎火发动,3.5
九月（分身）,3.5
火锅,3.5
杨胤,3.5
大雁,3.5
奶油熊子烧酒二号机,3.5
黎天晚,3.5
XZWY山风,3.5
夏虫不可语冰,3.5
bewater,3.5
君君君君小夏,3.5
66,3.5
xxg,3.5
奶茶味的S7-DF7D0142,3.5
巴藏,3.5
呃呃,3.5
王先生,3.5
宋三,3.5
葛梓,3.5
追光者呀,3.5
卢卡•莫德里奇,3.5
白汐,3.5
依然002号机,3.5
嗨皮痒痒,3.5
凉宫春日的消失,3.5
Allegro,3.5
dingcross的二号机,3.5
空山读尽,3.5
戴眼镜的高尔夫球儿（hmtbs）,3.5
塔罗和卡库,3.5
bin哥厉害,3.5
凑个人头喵,3.5
我是假面骑士Gotchard,3.5
New房昭之,3.5
光光,3.5
百奇,3.5
真新镇双冠王,3.5
果冻史莱姆,3.5
吃冰冰的若酱,3.5
吴钊xie,3.5
natsuha,3.5
马马也,3.5
戴眼镜的高尔夫球儿（hmtbs）,3.5
鹰击长空,3.5
猫蛋,3.5
魏枝,3.5
金旺旺oo,3.5
KaiserWilhelm,3.5
北枳枳,3.5
李培楠2,3.5
琦琦,3.5
zui ai cl,3.5
败家娘们,3.5
我是妈咪,3.5
陈0从小就很1,3.5
11,3.5
nameless,3.5
斗笠菇,3.5
nd,3.5
生日快乐,3.5
