id,money
吃好喝好去接水,6200
究竟是怎样的结局配得上这一路的颠沛流离,6192.7
rzzz 1:1,5003.5
乌冬,5000
梦魇敌酋,4000
发呆的沼跃鱼,4000
絮影蘋香,3473.9
yylzsj1：1  flags,2500
允水晶,2400
kusuri,2310
一碗叉烧饭,2200
木木枭,2100
我的夏天快要结束啦,2072.3
中石器时代的故事,2050
没事睡觉中,2030
冰淇琳yyh(最后波纹版,2003.5
123,2000
浅澜（1：1flag）,2000
铁血恬豆包,2000
愁莫渡江,2000
临时文件夹,1900
本池田,1800
名字起太怪也不好,1500
aki 1:1flag,1500
春雪丶,1373.7
风尘不花果,1166.1
粉色烂牙小猪,1100
考拉,1020
我要吃人啦,1016.9
Allegro,1000
小tāng,1000
我曾在热烈的夏季,1000
依然,1000
1:1flag东流,1000
AIR卡布奇诺,1000
老实憨厚的Ci,1000
M-----177,935.5
CC_空屋,850
Nxname,832.3
Speranza,814.7
许杨玉琢,789.2
劳动最光荣,747.4
盛夏将逝,661.5
icuzz,650
第010条鲨鱼,616.5
后左脆鲨,600
Ameka,593.5
安静爱cl,544.6
八慧,500
福禄双霸天3.6flag,500
Barca,500
oxygenkun,500
三冠王Max Verstappen,500
mdylm flag,500
言遇鍾生,500
七擒孟获,500
喵九flag,500
major冠军麦克阿琳,476.9
不碍事,476.9
解释春风无限恨,433.8
叶凡,400
Team V出列！,400
陈小陈,400
小菜狗,400
tq,400
纳格尔斯曼,400
finfin,400
九月September,372.3
百利甜配美式加冰,372.3
踢风寻宝,366.9
dumpling,344.6
桐生一喵,332.3
拉扯大师369,326.2
抹一缕月光,322.3
Basiliscus,321.9
Mr.cleverpig,309.2
不要进厕所要进圈！,303.5
加油哇幸运星,300
玩具城小兵,300
李培楠,299.2
破甲专精,282.3
帕里亚,272.3
啊啊啊呀呵i,220
1pril,216.9
HJS,216.9
小明的巾领红,216.9
漏电五郎,213.5
喝奶茶,210
明天晚上吃什么,204.6
净Zzz,201
硬核昵称,200
逆熵_,200
可爱小又吃火锅,200
克苏鲁小琳浑身双马尾,200
兔砸,200
元宝的go,200
天赏,200
不见王影,200
Aluan,200
吃冰冰的若酱,200
花满楼,184.6
TheYoung_,184.6
祈妄,182.3
吴ruan,174.6
艾罗补脑汁,172.3
dingcross,160.5
大雁,154.5
戴眼镜的高尔夫球儿（hmtbs）,150
不太会说话,148.1
安普特,144.6
11,144.6
沉0的单推人,144.6
周刊少女,135.8
陈琳的老公谢天依,130.5
xxlonge,130
Faze陈琳,123.5
好好好好好完了,102.3
ok琳仔,102.3
，我讲两句,100
我是我和我的我,100
羁绊,93.5
提兹卡悲歌,92.3
盒纤,90
红绳会第一幸运星,80
Crimson Requiem,80
彼得帕克,79.3
SPYNGELION,75.8
于回,73.5
程先生,73.5
大园桃子_official,72.3
Lear,72.3
Hello米豆豆,72.3
给我驿进唐朝荔枝,72.3
奶茶味的S7-DF7D0142,72.3
李毅,72.3
菲多艾米联科,72.3
谢谢你，泰罗,72.3
酋雷姆,70.5
卡卡,70
鹰击长空,60
阿雅最爱陈琳,60
NASA新,60
好好好,50
KaiserWilhelm,50
琳神进圈我保研,50
阿松,43.5
暮光星琳,43.5
Colin,40.5
石榴可真是棒啊,40
爱吃凤梨酥也爱Lynn,40
哲学阿伟,40
蘭。,40
四禧丸子丁真,35
反求诸己,35
pxx,33.5
打干只能凑人头版 sad,33.5
桂楚楚单推人,30
玳珏不是黛玉,30
一只小Teemo_,30
一块泥巴啊,30
ToBOREAS,30
用户-2019,30
xxg,30
琳又圆,30
羽哦,30
云衢千里明,30
Vicky,30
饿了想吃柠檬炸鸡,30
xxxxx,30
小七同学,30
橋本奈々未,30
宇过天晴,30
呃呃,30
花生,30
莉莉卡,30
jiayou a cl,30
祁琳应援会,30
猫老师,30
多学习,30
逆浪千秋123,30
草子糕,30
Young,23.5
我哆啦实名冲刺！,21
磕学家,20
比你更爱星瞳,20
ethereal-233,20
bej-安雨晴,20
NASA 2,20
黎天晚,20
我不是聚聚,20
寻遥青,17
韭菜鸡翅,17
指导舒,14
无相之面,13.5
LJMMMMMMM,13.5
金字塔,13.5
reo,13.5
HOC_GD,10.5
王佳,10.5
jiayou,10.5
HTC,10.5
杨鑫,10.5
谭富英,10
0066！,10
Kiko-枝吱,10
小猛,10
凉宫春日的忧郁,10
小琳勇闯天涯,10
黎天晚二号机,10
野肆,10
肥宅王,10
111,10
方11,10
空山读尽,10
666,10
cl,10
小咕咚,10
千层,10
刘昊林,10
黄婷婷,10
琦琦,10
百奇,7
法老王,7
卢卡•莫德里奇,7
吉米大叔呀,7
可爱小琳没有双马尾②,7
沁栗水一枚,7
图图,7
小怪兽的快乐星球_,7
小林睡不醒zZZ,7
少皞,7
支持拟态,7
桃园张善政,3.5
a冷yyh,3.5
DreamL1小梦,3.5
芋泥椰果去冰,3.5
天朝战忽局菊座,3.5
lauti,3.5
三水各,3.5
不碍事02,3.5
火锅,3.5
人头,3.5
戴木,3.5
苏三石,3.5
新kmt连线,3.5
Cww,3.5
嗨皮痒痒,3.5
曹操,3.5
熊苡萱,3.5
